benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
array-zipcpu_zipcpu_piped-p013;avr;uns;-1;1.35;10.79;1249.0;btormc;uns;-1;0.31;0.20;20.0;cosa2;uns;-1;0.41;1.00;119.0;nuxmv;uns;-1;1.98;3.78;309.0;pono;uns;-1;0.38;1.13;124.0
array-zipcpu_zipcpu_piped-p015;avr;uns;-1;1.56;14.10;1453.0;btormc;uns;-1;0.32;0.30;27.0;cosa2;uns;-1;0.41;1.01;118.0;nuxmv;uns;-1;1.94;3.68;294.0;pono;uns;-1;0.38;1.12;123.0
array-zipcpu_zipcpu_piped-p020;avr;uns;-1;1.40;10.81;1286.0;btormc;uns;-1;0.32;0.30;25.0;cosa2;uns;-1;0.43;1.41;137.0;nuxmv;uns;-1;1.94;3.52;290.0;pono;uns;-1;0.39;1.13;123.0
array-zipcpu_zipcpu_piped-p033;avr;uns;-1;1.41;11.27;1242.0;btormc;uns;-1;0.07;0.00;0.0;cosa2;uns;-1;0.28;0.59;92.0;nuxmv;uns;-1;1.02;0.80;143.0;pono;uns;-1;0.31;0.69;123.0
array-zipcpu_zipcpu_piped-p034;avr;uns;-1;1.40;10.97;1292.0;btormc;uns;-1;0.07;0.00;0.0;cosa2;uns;-1;0.27;0.58;93.0;nuxmv;uns;-1;0.99;0.96;151.0;pono;uns;-1;0.30;0.70;123.0
array-zipcpu_zipcpu_piped-p040;avr;uns;-1;1.44;12.31;1412.0;btormc;uns;-1;0.33;0.30;27.0;cosa2;uns;-1;0.41;1.02;118.0;nuxmv;uns;-1;2.42;5.01;318.0;pono;uns;-1;0.38;1.10;123.0
array-zipcpu_zipcpu_piped-p048;avr;uns;-1;1.38;10.90;1207.0;btormc;uns;-1;0.31;0.20;20.0;cosa2;uns;-1;0.41;1.01;118.0;nuxmv;uns;-1;1.91;3.64;299.0;pono;uns;-1;0.38;1.10;123.0
array-zipcpu_zipcpu_piped-p073;avr;uns;-1;1.53;14.43;1398.0;btormc;uns;-1;0.32;0.29;27.0;cosa2;uns;-1;0.41;0.99;116.0;nuxmv;uns;-1;6.68;17.79;538.0;pono;uns;-1;0.40;1.05;121.0
array-zipcpu_zipcpu_piped-p081;avr;uns;-1;2577.49;36713.93;25471.0;btormc;time;-1;3600.09;3599.95;1427.0;cosa2;time;-1;3600.10;14497.64;3360.0;nuxmv;time;-1;3600.10;8459.84;3653.0;pono;time;-1;3600.10;14497.33;9081.0
array-zipcpu_zipcpu_piped-p102;avr;uns;-1;20.02;299.88;8390.0;btormc;time;-1;3600.09;3599.93;3077.0;cosa2;uns;-1;1610.06;6482.98;5624.0;nuxmv;uns;-1;238.00;711.81;2612.0;pono;uns;-1;1338.30;5389.22;8300.0
array-zipcpu_zipcpu_piped-p110;avr;uns;-1;1.14;8.09;952.0;btormc;uns;-1;0.15;0.09;16.0;cosa2;uns;-1;0.27;0.59;93.0;nuxmv;uns;-1;1.23;1.48;210.0;pono;uns;-1;0.30;0.72;124.0
array-zipcpu_zipcpu_piped-p111;avr;uns;-1;1.57;14.73;1533.0;btormc;uns;-1;0.32;0.30;25.0;cosa2;uns;-1;0.42;1.35;115.0;nuxmv;uns;-1;1.95;3.50;298.0;pono;uns;-1;0.39;1.11;123.0
array-zipcpu_zipcpu_piped-p112;avr;uns;-1;1.83;19.02;1895.0;btormc;time;-1;3600.09;3599.97;2622.0;cosa2;uns;-1;114.76;461.67;1768.0;nuxmv;uns;-1;57.46;170.27;1055.0;pono;uns;-1;51.56;207.30;1718.0
array-zipcpu_zipcpu_piped-p115;avr;uns;-1;1.11;7.85;981.0;btormc;uns;-1;0.15;0.10;17.0;cosa2;uns;-1;0.26;0.60;93.0;nuxmv;uns;-1;1.30;1.78;224.0;pono;uns;-1;0.29;0.72;124.0
array-zipcpu_zipcpu_piped-p131;avr;uns;-1;1.59;14.08;1426.0;btormc;uns;-1;0.35;0.30;27.0;cosa2;uns;-1;0.42;0.99;118.0;nuxmv;uns;-1;2.62;5.51;325.0;pono;uns;-1;0.43;1.47;144.0
array-zipcpu_zipcpu_piped-p132;avr;uns;-1;1.90;19.24;1884.0;btormc;time;-1;3600.09;3599.92;2600.0;cosa2;uns;-1;828.41;3335.56;4607.0;nuxmv;uns;-1;198.65;593.70;2367.0;pono;uns;-1;136.24;547.46;3864.0
array-zipcpu_zipcpu_piped-p142;avr;uns;-1;1.59;14.39;1519.0;btormc;time;-1;3600.09;3599.95;2952.0;cosa2;uns;-1;3080.72;12198.68;11144.0;nuxmv;uns;-1;84.43;251.02;1853.0;pono;uns;-1;1018.87;4102.46;13112.0
array-zipcpu_zipcpu_piped-p146;avr;uns;-1;35.22;543.21;7711.0;btormc;time;-1;3600.09;3599.93;2820.0;cosa2;time;-1;3600.10;14497.54;5041.0;nuxmv;uns;-1;1323.08;3966.08;4427.0;pono;time;-1;3600.10;14496.44;14449.0
array-zipcpu_zipcpu_piped-p155;avr;uns;-1;1.46;12.17;1394.0;btormc;uns;-1;0.33;0.29;26.0;cosa2;uns;-1;0.42;0.96;116.0;nuxmv;uns;-1;1.97;3.73;307.0;pono;uns;-1;0.61;1.01;116.0
array-zipcpu_zipcpu_piped-p156;avr;uns;-1;1.67;16.79;1761.0;btormc;time;-1;3600.09;3599.85;2835.0;cosa2;uns;-1;869.57;3501.49;4496.0;nuxmv;uns;-1;54.55;161.50;1408.0;pono;uns;-1;351.94;1416.93;4453.0
array-zipcpu_zipcpu_piped-p160;avr;uns;-1;2.03;21.96;1927.0;btormc;time;-1;3600.09;3599.94;1966.0;cosa2;uns;-1;348.99;1404.66;3801.0;nuxmv;uns;-1;109.08;324.95;1795.0;pono;time;-1;3600.10;14498.29;19270.0
array-zipcpu_zipcpu_piped-p162;avr;unk;-1;3573.90;49363.43;36134.0;btormc;time;-1;3600.10;3599.90;1772.0;cosa2;time;-1;3600.10;14495.12;3461.0;nuxmv;time;-1;3600.10;8832.93;5205.0;pono;time;-1;3600.10;14499.36;9827.0
array-zipcpu_zipcpu_piped-p163;avr;uns;-1;26.89;410.20;7043.0;btormc;time;-1;3600.09;3599.87;2704.0;cosa2;time;-1;3600.11;14499.11;5266.0;nuxmv;uns;-1;1478.04;4431.73;4733.0;pono;time;-1;3600.10;14496.65;13568.0
array-zipcpu_zipcpu_piped-p177;avr;uns;-1;1.46;12.94;1403.0;btormc;uns;-1;0.36;0.26;27.0;cosa2;uns;-1;0.42;0.99;117.0;nuxmv;uns;-1;2.52;5.19;313.0;pono;uns;-1;0.40;1.11;123.0
array-zipcpu_zipcpu_piped-p183;avr;uns;-1;1.73;17.27;1617.0;btormc;time;-1;3600.09;3599.97;2393.0;cosa2;uns;-1;182.86;735.90;2578.0;nuxmv;uns;-1;64.80;192.23;1297.0;pono;uns;-1;33.04;132.82;1374.0
array-zipcpu_zipcpu_piped-p185;avr;uns;-1;1.52;13.32;1486.0;btormc;time;-1;3600.09;3599.95;2347.0;cosa2;uns;-1;262.89;1058.08;3483.0;nuxmv;uns;-1;111.39;331.91;1958.0;pono;uns;-1;41.12;165.33;1890.0
array-zipcpu_zipcpu_piped-p205;avr;uns;-1;1.34;10.80;1170.0;btormc;uns;-1;0.31;0.19;20.0;cosa2;uns;-1;0.42;1.29;118.0;nuxmv;uns;-1;3.53;8.28;379.0;pono;uns;-1;0.37;1.14;124.0
array-zipcpu_zipcpu_piped-p210;avr;uns;-1;1.37;10.87;1215.0;btormc;uns;-1;0.32;0.30;27.0;cosa2;uns;-1;0.42;0.98;115.0;nuxmv;uns;-1;4.43;11.02;396.0;pono;uns;-1;0.39;1.03;118.0
array-zipcpu_zipcpu_piped-p211;avr;uns;-1;34.74;535.81;9048.0;btormc;time;-1;3600.09;3599.90;2555.0;cosa2;time;-1;3600.09;14496.16;6405.0;nuxmv;time;-1;3600.10;7308.97;6180.0;pono;time;-1;3600.10;14496.83;15299.0
array-zipcpu_zipcpu_piped-p214;avr;uns;-1;1.66;16.09;1608.0;btormc;time;-1;3600.09;3599.91;1892.0;cosa2;uns;-1;1178.06;4743.16;6654.0;nuxmv;uns;-1;81.21;241.41;1739.0;pono;time;-1;3600.10;14497.67;22779.0
array-zipcpu_zipcpu_piped-p218;avr;uns;-1;1.62;15.15;1613.0;btormc;time;-1;3600.10;3599.95;2175.0;cosa2;time;-1;3600.09;13946.35;10209.0;nuxmv;uns;-1;163.27;487.59;2380.0;pono;time;-1;3600.10;14497.03;21268.0
array-zipcpu_zipcpu_piped-p219;avr;uns;-1;1.11;7.66;960.0;btormc;uns;-1;0.15;0.10;17.0;cosa2;uns;-1;0.27;0.59;90.0;nuxmv;uns;-1;1.13;1.26;189.0;pono;uns;-1;0.30;0.72;123.0
array-zipcpu_zipcpu_piped-p223;avr;uns;-1;1.34;10.32;1254.0;btormc;uns;-1;0.32;0.29;20.0;cosa2;uns;-1;0.42;0.98;117.0;nuxmv;uns;-1;1.96;3.94;290.0;pono;uns;-1;0.40;1.09;122.0
array-zipcpu_zipcpu_piped-p224;avr;uns;-1;2.06;21.72;1963.0;btormc;time;-1;3600.10;3599.95;1993.0;cosa2;uns;-1;1478.02;5951.35;6992.0;nuxmv;uns;-1;116.37;346.97;1852.0;pono;time;-1;3600.10;14497.46;21522.0
array-zipcpu_zipcpu_piped-p226;avr;uns;-1;1.24;9.92;1183.0;btormc;uns;-1;0.35;0.27;27.0;cosa2;uns;-1;0.40;1.01;117.0;nuxmv;uns;-1;1.74;2.77;270.0;pono;uns;-1;0.40;1.04;121.0
array-zipcpu_zipcpu_piped-p262;avr;uns;-1;1.60;14.33;1474.0;btormc;time;-1;3600.09;3599.99;5028.0;cosa2;uns;-1;975.31;3926.70;5005.0;nuxmv;uns;-1;73.58;218.59;1402.0;pono;uns;-1;62.92;252.83;2082.0
array-zipcpu_zipcpu_piped-p267;avr;uns;-1;1.11;7.45;967.0;btormc;uns;-1;0.07;0.00;0.0;cosa2;uns;-1;0.27;0.62;95.0;nuxmv;uns;-1;1.06;0.99;160.0;pono;uns;-1;0.30;0.72;123.0
array-zipcpu_zipcpu_piped-p275;avr;uns;-1;1.32;10.29;1185.0;btormc;uns;-1;0.31;0.20;20.0;cosa2;uns;-1;0.41;1.03;117.0;nuxmv;uns;-1;3.20;7.33;336.0;pono;uns;-1;0.38;1.10;123.0
array-zipcpu_zipcpu_piped-p288;avr;uns;-1;1.31;10.34;1202.0;btormc;uns;-1;0.31;0.20;20.0;cosa2;uns;-1;0.41;0.99;118.0;nuxmv;uns;-1;1.95;3.47;290.0;pono;uns;-1;0.38;1.12;123.0
array-zipcpu_zipcpu_piped-p295;avr;uns;-1;1.28;9.29;1152.0;btormc;uns;-1;0.32;0.29;25.0;cosa2;uns;-1;0.41;0.99;117.0;nuxmv;uns;-1;8.11;22.23;581.0;pono;uns;-1;0.38;1.10;123.0
array-zipcpu_zipcpu_piped-p308;avr;uns;-1;1.47;12.17;1207.0;btormc;uns;-1;0.16;0.09;15.0;cosa2;uns;-1;0.27;0.61;93.0;nuxmv;uns;-1;1.39;1.99;235.0;pono;uns;-1;0.32;0.70;123.0
array-zipcpu_zipcpu_piped-p309;avr;uns;-1;1.25;9.55;1154.0;btormc;uns;-1;0.33;0.29;27.0;cosa2;uns;-1;0.42;1.27;115.0;nuxmv;uns;-1;1.98;3.80;286.0;pono;uns;-1;0.37;1.13;124.0
array-zipcpu_zipcpu_piped-p315;avr;uns;-1;1.24;9.44;1163.0;btormc;uns;-1;0.31;0.19;20.0;cosa2;uns;-1;0.40;1.00;118.0;nuxmv;uns;-1;9.74;26.63;622.0;pono;uns;-1;0.39;1.13;123.0
array-zipcpu_zipcpu_piped-p323;avr;uns;-1;1.27;9.73;1129.0;btormc;uns;-1;0.14;0.09;17.0;cosa2;uns;-1;0.27;0.60;92.0;nuxmv;uns;-1;1.25;1.52;203.0;pono;uns;-1;0.31;0.71;123.0
array-zipcpu_zipcpu_piped-p327;avr;uns;-1;19.90;298.25;6831.0;btormc;time;-1;3600.09;3599.87;2919.0;cosa2;time;-1;3600.10;14498.49;6319.0;nuxmv;uns;-1;1626.06;4875.67;5480.0;pono;time;-1;3600.12;14498.33;14194.0
array-zipcpu_zipcpu_piped-p330;avr;uns;-1;1.47;12.83;1398.0;btormc;uns;-1;341.35;341.29;670.0;cosa2;uns;-1;441.08;1775.80;4584.0;nuxmv;uns;-1;181.55;542.50;2464.0;pono;uns;-1;34.45;138.45;1940.0
array-zipcpu_zipcpu_piped-p342;avr;uns;-1;1.47;12.51;1424.0;btormc;time;-1;3600.09;3599.95;3103.0;cosa2;uns;-1;393.34;1583.54;5031.0;nuxmv;uns;-1;82.67;245.90;1210.0;pono;uns;-1;21.14;84.90;1125.0
array-zipcpu_zipcpu_piped-p344;avr;uns;-1;1.32;10.29;1267.0;btormc;uns;-1;0.31;0.20;20.0;cosa2;uns;-1;0.40;0.99;118.0;nuxmv;uns;-1;1.94;3.53;290.0;pono;uns;-1;0.39;1.13;123.0
array-zipcpu_zipcpu_piped-p347;avr;uns;-1;1.31;10.33;1241.0;btormc;uns;-1;0.31;0.20;20.0;cosa2;uns;-1;0.41;1.01;117.0;nuxmv;uns;-1;2.00;3.74;299.0;pono;uns;-1;0.39;1.12;123.0
array-zipcpu_zipcpu_piped-p350;avr;uns;-1;1.58;14.94;1525.0;btormc;uns;-1;0.33;0.30;26.0;cosa2;uns;-1;0.41;1.00;117.0;nuxmv;uns;-1;2.00;3.79;298.0;pono;uns;-1;0.39;1.09;123.0
array-zipcpu_zipcpu_piped-p351;avr;unk;-1;3573.94;43678.47;27116.0;btormc;time;-1;3600.09;3599.94;1513.0;cosa2;time;-1;3600.10;14495.18;3605.0;nuxmv;time;-1;3600.09;8852.06;2776.0;pono;time;-1;3600.10;14500.15;8563.0
array-zipcpu_zipcpu_piped-p372;avr;uns;-1;1.42;11.49;1240.0;btormc;uns;-1;0.31;0.20;20.0;cosa2;uns;-1;0.42;1.01;117.0;nuxmv;uns;-1;1.93;3.51;292.0;pono;uns;-1;0.38;1.12;123.0
array-zipcpu_zipcpu_piped-p378;avr;uns;-1;1.33;10.63;1050.0;btormc;uns;-1;0.15;0.10;16.0;cosa2;uns;-1;0.26;0.62;93.0;nuxmv;uns;-1;1.28;1.64;218.0;pono;uns;-1;0.30;0.70;123.0
array-zipcpu_zipcpu_piped-p381;avr;uns;-1;1.54;13.61;1391.0;btormc;uns;-1;0.32;0.19;20.0;cosa2;uns;-1;0.42;0.98;115.0;nuxmv;uns;-1;5.18;13.29;411.0;pono;uns;-1;0.60;1.03;117.0
array-zipcpu_zipcpu_piped-p389;avr;uns;-1;1.90;19.23;1901.0;btormc;time;-1;3600.10;3599.92;2766.0;cosa2;time;-1;3600.10;14497.97;8812.0;nuxmv;uns;-1;118.75;353.92;1636.0;pono;time;-1;3600.10;14498.35;18781.0
array-zipcpu_zipcpu_piped-p390;avr;uns;-1;1.45;11.86;1258.0;btormc;uns;-1;0.32;0.29;27.0;cosa2;uns;-1;0.42;0.97;116.0;nuxmv;uns;-1;8.34;22.58;620.0;pono;uns;-1;0.60;0.99;116.0
array-zipcpu_zipcpu_piped-p399;avr;unk;-1;3573.63;30342.49;18475.0;btormc;time;-1;3600.09;3599.90;1387.0;cosa2;time;-1;3600.10;14496.29;3552.0;nuxmv;time;-1;3600.09;7650.47;2023.0;pono;time;-1;3600.10;14497.89;7977.0
array-zipcpu_zipcpu_piped-p423;avr;uns;-1;1.34;10.62;1223.0;btormc;uns;-1;0.31;0.19;20.0;cosa2;uns;-1;0.42;1.01;117.0;nuxmv;uns;-1;1.99;3.74;282.0;pono;uns;-1;0.39;1.10;123.0
array-zipcpu_zipcpu_piped-p431;avr;uns;-1;1.33;10.60;1203.0;btormc;uns;-1;0.32;0.29;26.0;cosa2;uns;-1;0.42;1.02;118.0;nuxmv;uns;-1;1.95;3.51;275.0;pono;uns;-1;0.40;1.10;123.0
array-zipcpu_zipcpu_piped-p442;avr;uns;-1;1.20;8.51;1178.0;btormc;uns;-1;0.33;0.30;27.0;cosa2;uns;-1;0.42;0.99;116.0;nuxmv;uns;-1;1.68;2.86;271.0;pono;uns;-1;0.60;1.01;117.0
array-zipcpu_zipcpu_piped-p448;avr;uns;-1;8.03;108.70;4996.0;btormc;time;-1;3600.09;3599.96;2928.0;cosa2;time;-1;3600.10;13894.64;10094.0;nuxmv;uns;-1;158.82;474.16;1738.0;pono;time;-1;3600.09;14496.46;18906.0
array-zipcpu_zipcpu_piped-p466;avr;uns;-1;1055.67;16145.35;19355.0;btormc;time;-1;3600.09;3599.92;1415.0;cosa2;time;-1;3600.10;14497.59;3567.0;nuxmv;time;-1;3600.09;7455.63;2924.0;pono;time;-1;3600.10;14495.17;8800.0
array-zipcpu_zipcpu_piped-p472;avr;uns;-1;458.26;6966.68;15038.0;btormc;time;-1;3600.09;3599.98;1482.0;cosa2;time;-1;3600.10;14496.43;3615.0;nuxmv;uns;-1;787.55;2360.44;2052.0;pono;time;-1;3600.10;14496.75;9560.0
array-zipcpu_zipcpu_piped-p475;avr;uns;-1;1.33;10.72;1243.0;btormc;uns;-1;0.32;0.30;27.0;cosa2;uns;-1;0.43;1.35;136.0;nuxmv;uns;-1;2.00;3.66;297.0;pono;uns;-1;0.60;1.00;116.0
array-zipcpu_zipcpu_piped-p476;avr;uns;-1;5.75;73.11;3390.0;btormc;time;-1;3600.09;3599.97;3548.0;cosa2;time;-1;3600.10;14497.07;6879.0;nuxmv;uns;-1;104.56;311.58;1802.0;pono;uns;-1;1182.42;4760.85;7806.0
array-zipcpu_zipcpu_piped-p479;avr;uns;-1;1.64;15.40;1426.0;btormc;time;-1;3600.09;3599.98;2658.0;cosa2;time;-1;3600.10;14499.13;9427.0;nuxmv;uns;-1;108.16;322.21;1416.0;pono;uns;-1;370.32;1489.95;5593.0
array-zipcpu_zipcpu_piped-p481;avr;uns;-1;32.96;507.94;7565.0;btormc;time;-1;3600.09;3599.91;3005.0;cosa2;time;-1;3600.10;14497.63;6586.0;nuxmv;uns;-1;397.87;1191.35;1883.0;pono;time;-1;3600.10;14500.02;16967.0
array-zipcpu_zipcpu_piped-p509;avr;uns;-1;1.63;15.78;1593.0;btormc;time;-1;3600.09;3599.95;3523.0;cosa2;uns;-1;30.58;122.59;1553.0;nuxmv;uns;-1;38.65;113.55;1350.0;pono;uns;-1;43.37;173.39;2021.0
array-zipcpu_zipcpu_piped-p516;avr;uns;-1;1.62;14.69;1643.0;btormc;time;-1;3600.09;3599.96;1963.0;cosa2;time;-1;3600.09;13763.39;10184.0;nuxmv;uns;-1;147.87;441.55;2208.0;pono;time;-1;3600.10;14498.42;19593.0
array-zipcpu_zipcpu_piped-p518;avr;uns;-1;37.07;573.32;9581.0;btormc;time;-1;3600.09;3599.95;2568.0;cosa2;uns;-1;2111.78;8504.81;5468.0;nuxmv;uns;-1;188.48;563.16;2393.0;pono;uns;-1;1210.09;4872.66;7919.0
array-zipcpu_zipcpu_piped-p520;avr;uns;-1;36.51;563.74;9505.0;btormc;time;-1;3600.09;3599.92;2385.0;cosa2;uns;-1;476.44;1918.25;3001.0;nuxmv;uns;-1;227.74;680.90;2109.0;pono;uns;-1;228.55;920.13;3756.0
array-zipcpu_zipcpu_piped-p525;avr;uns;-1;1.69;15.42;1486.0;btormc;uns;-1;0.38;0.29;27.0;cosa2;uns;-1;0.47;1.40;139.0;nuxmv;uns;-1;2.46;5.43;330.0;pono;uns;-1;0.44;1.51;145.0
array-zipcpu_zipcpu_piped-p528;avr;uns;-1;1.64;15.38;1488.0;btormc;uns;-1;0.36;0.30;27.0;cosa2;uns;-1;0.45;1.40;140.0;nuxmv;uns;-1;3.36;7.93;371.0;pono;uns;-1;0.43;1.50;145.0
array-zipcpu_zipcpu_piped-p529;avr;uns;-1;1.66;15.60;1527.0;btormc;uns;-1;0.32;0.30;27.0;cosa2;uns;-1;0.42;1.28;115.0;nuxmv;uns;-1;2.01;3.70;298.0;pono;uns;-1;0.39;1.12;123.0
bv-VexRiscv-regch0-15-p0;abc;uns;-1;28.99;328.52;3724.0;abc17;uns;-1;28.92;332.32;3754.0;avr;uns;-1;14.76;217.41;3076.0;avy;time;-1;3600.11;35991.59;5340.0;btormc;uns;-1;11.74;11.69;102.0;camical;unk;-1;69.49;69.39;9321.0;cosa2;uns;-1;20.57;82.30;453.0;nmtip;uns;-1;6.28;6.19;91.0;nuxmv;time;-1;3600.09;14398.52;16828.0;pdtrav;uns;-1;88.92;444.43;2609.0;pono;uns;-1;13.99;69.43;534.0
bv-VexRiscv-regch0-20-p0;abc;uns;-1;807.70;8334.71;31293.0;abc17;uns;-1;857.31;8830.77;31820.0;avr;uns;-1;92.92;1469.30;5570.0;avy;time;-1;3600.10;35992.53;13589.0;btormc;uns;-1;178.23;178.19;177.0;camical;unk;-1;90.12;90.10;9533.0;cosa2;uns;-1;91.86;369.51;746.0;nmtip;uns;-1;52.68;52.59;161.0;nuxmv;time;-1;3600.10;14398.62;17740.0;pdtrav;uns;-1;158.96;817.48;2676.0;pono;uns;-1;276.09;1387.76;1703.0
bv-VexRiscv-regch0-30-p1;abc;time;-1;3600.11;35842.10;110681.0;abc17;time;-1;3600.10;35840.49;107616.0;avr;uns;-1;918.55;14695.08;13917.0;avy;time;-1;3600.10;35903.45;37170.0;btormc;uns;-1;1063.67;1063.60;735.0;camical;unk;-1;254.53;254.49;8115.0;cosa2;uns;-1;2241.49;7579.59;2422.0;nmtip;uns;-1;344.79;344.68;722.0;nuxmv;time;-1;3600.10;14398.10;17791.0;pdtrav;uns;-1;900.26;5114.43;5739.0;pono;uns;-1;2996.38;12921.97;4069.0
bv-anderson.3.prop1-back-serstep;abc;sat;3;0.84;0.56;446.0;abc17;sat;3;0.69;0.30;49.0;avr;sat;-1;0.42;1.72;718.0;avy;sat;4;0.28;0.23;70.0;btormc;sat;-1;0.10;0.00;0.0;camical;sat;3;0.03;0.00;0.0;cosa2;sat;-1;0.11;0.05;0.0;nmtip;sat;3;0.05;0.00;0.0;nuxmv;sat;-1;0.75;1.44;284.0;pdtrav;sat;3;3.13;4.54;1753.0;pono;sat;-1;0.14;0.08;83.0
bv-arbitrated_top_n2_w128_d32_e0;abc;time;-1;3600.11;44487.09;4867.0;abc17;time;-1;3600.10;44492.40;4924.0;avr;sat;-1;700.57;10275.48;10551.0;avy;time;-1;3600.10;35971.05;14825.0;btormc;sat;-1;1647.79;1647.68;1199.0;camical;time;-1;3600.09;3599.72;918.0;cosa2;sat;-1;624.70;2515.33;2687.0;nmtip;time;-1;3600.09;3599.98;225.0;nuxmv;sat;-1;591.76;2364.60;1837.0;pdtrav;time;-1;3600.10;16790.36;10345.0;pono;sat;-1;847.19;4260.25;4671.0
bv-arbitrated_top_n2_w128_d64_e0;abc;time;-1;3600.10;44632.89;8158.0;abc17;time;-1;3600.10;44637.72;7766.0;avr;unk;-1;3576.43;35081.24;21900.0;avy;time;-1;3600.11;35951.03;22169.0;btormc;time;-1;3600.09;3599.97;3473.0;camical;time;-1;3600.10;3599.98;1436.0;cosa2;time;-1;3600.10;14497.32;10552.0;nmtip;time;-1;3600.09;3599.98;429.0;nuxmv;time;-1;3600.10;14396.80;3748.0;pdtrav;time;-1;3600.09;3600.10;401.0;pono;time;-1;3600.10;18105.72;10513.0
bv-arbitrated_top_n2_w64_d64_e0;abc;time;-1;3600.10;44432.13;3416.0;abc17;time;-1;3600.10;44435.05;3403.0;avr;unk;-1;3572.72;34769.29;21050.0;avy;time;-1;3600.12;35982.59;14292.0;btormc;time;-1;3600.09;3600.02;2829.0;camical;time;-1;3600.10;3600.03;950.0;cosa2;time;-1;3600.10;14497.81;6984.0;nmtip;time;-1;3600.09;3599.99;222.0;nuxmv;time;-1;3600.10;14397.84;2424.0;pdtrav;time;-1;3600.10;17021.27;14831.0;pono;time;-1;3600.10;18104.50;8409.0
bv-arbitrated_top_n2_w8_d128_e0;abc;time;-1;3600.10;44224.29;4501.0;abc17;time;-1;3600.10;44225.73;4546.0;avr;unk;-1;3574.39;34654.80;16635.0;avy;time;-1;3600.10;35997.29;9354.0;btormc;time;-1;3600.10;3599.98;726.0;camical;time;-1;3600.09;3600.00;432.0;cosa2;time;-1;3600.10;14497.56;4490.0;nmtip;uns;-1;18.49;18.39;81.0;nuxmv;time;-1;3600.10;14397.21;1928.0;pdtrav;time;-1;3600.10;20788.69;7200.0;pono;time;-1;3600.10;18102.88;3835.0
bv-arbitrated_top_n2_w8_d16_e0;abc;sat;18;14.39;174.78;824.0;abc17;sat;18;14.51;177.40;833.0;avr;sat;-1;8.88;123.55;1377.0;avy;sat;18;28.60;283.50;965.0;btormc;sat;-1;13.19;13.10;35.0;camical;sat;18;14.65;14.60;32.0;cosa2;sat;-1;9.44;37.62;139.0;nmtip;uns;-1;11.22;11.19;35.0;nuxmv;sat;-1;8.11;30.92;311.0;pdtrav;unk;-1;4.58;13.70;993.0;pono;sat;-1;7.57;37.26;205.0
bv-arbitrated_top_n2_w8_d32_e0;abc;sat;34;123.60;1590.18;1545.0;abc17;sat;34;129.59;1669.73;1609.0;avr;sat;-1;603.15;8254.36;8751.0;avy;sat;34;890.19;8898.30;4298.0;btormc;sat;-1;801.21;801.08;182.0;camical;sat;34;1027.23;1027.22;233.0;cosa2;sat;-1;590.80;2378.56;1318.0;nmtip;uns;-1;16.75;16.69;46.0;nuxmv;sat;-1;517.43;2068.05;649.0;pdtrav;unk;-1;21.83;96.27;1229.0;pono;sat;-1;607.54;3054.93;1781.0
bv-arbitrated_top_n2_w8_d64_e0;abc;time;-1;3600.10;44202.76;4867.0;abc17;time;-1;3600.10;44202.73;3152.0;avr;unk;-1;3573.55;30326.74;14022.0;avy;time;-1;3600.12;35997.60;8354.0;btormc;time;-1;3600.10;3600.01;377.0;camical;time;-1;3600.09;3599.91;345.0;cosa2;time;-1;3600.10;14496.84;2945.0;nmtip;uns;-1;21.35;21.26;56.0;nuxmv;time;-1;3600.10;14398.40;1346.0;pdtrav;time;-1;3600.10;20793.79;7448.0;pono;time;-1;3600.10;18103.93;4304.0
bv-arbitrated_top_n3_w16_d128_e0;abc;time;-1;3600.10;44387.53;4000.0;abc17;time;-1;3600.11;44381.12;4121.0;avr;unk;-1;3575.85;39184.73;21492.0;avy;time;-1;3600.10;35993.16;12134.0;btormc;time;-1;3600.09;3599.88;1822.0;camical;time;-1;3600.10;3599.97;1031.0;cosa2;time;-1;3600.11;14497.42;5548.0;nmtip;time;-1;3600.09;3600.03;183.0;nuxmv;time;-1;3600.10;14397.55;2672.0;pdtrav;time;-1;3600.10;23169.81;10212.0;pono;time;-1;3600.10;18105.37;6511.0
bv-arbitrated_top_n3_w16_d32_e0;abc;sat;34;575.15;7446.66;2137.0;abc17;sat;34;606.37;7851.14;2244.0;avr;sat;-1;745.86;10224.40;9732.0;avy;sat;34;1593.84;15932.68;6236.0;btormc;sat;-1;921.08;920.99;296.0;camical;sat;34;1311.40;1311.30;295.0;cosa2;sat;-1;664.96;2677.70;1659.0;nmtip;uns;-1;13.29;13.18;64.0;nuxmv;sat;-1;493.74;1972.90;845.0;pdtrav;sat;55;642.06;2901.26;3176.0;pono;sat;-1;543.91;2734.66;1582.0
bv-arbitrated_top_n3_w32_d16_e0;abc;sat;18;27.09;324.18;948.0;abc17;sat;18;28.08;336.78;951.0;avr;sat;-1;11.10;158.34;1627.0;avy;sat;18;68.29;678.04;1813.0;btormc;sat;-1;28.45;28.39;98.0;camical;sat;18;33.22;33.20;103.0;cosa2;sat;-1;7.44;29.61;245.0;nmtip;uns;-1;15.04;14.98;81.0;nuxmv;sat;-1;11.13;42.68;512.0;pdtrav;sat;18;148.21;682.25;2197.0;pono;sat;-1;12.65;62.98;461.0
